Epoch,Name,ID,Admitted?,Scheduled At,Started At,Ended At,Overall Delay(sec)
1,slicelet-gold-0,7791a09c-82be-4ead-bb2a-f22f740ac705,True,2024-01-12 19:46:22,2024-01-12 19:46:47,2024-01-12 19:46:51,25.077481031417847
1,slicelet-gold-1,994e2907-cb49-40f5-bab2-068d4eaacb61,True,2024-01-12 19:46:22,2024-01-12 19:47:04,2024-01-12 19:47:08,42.14232301712036
1,slicelet-gold-2,d3347a30-9252-44de-a557-5c350ca4f133,True,2024-01-12 19:46:24,2024-01-12 19:46:46,2024-01-12 19:46:47,22.06401491165161
1,slicelet-gold-3,0039894d-bec9-44b2-9596-79c51ffb0a97,True,2024-01-12 19:46:22,2024-01-12 19:47:40,2024-01-12 19:47:42,78.2472083568573
1,slicelet-gold-4,04cb777a-6fc4-417a-92a4-8fda4d051af5,True,2024-01-12 19:46:23,2024-01-12 19:46:51,2024-01-12 19:46:55,28.09989619255066
1,slicelet-gold-5,57e430d6-1d37-493b-ab08-fbdce851aefe,True,2024-01-12 19:46:21,2024-01-12 19:46:21,2024-01-12 19:46:21,0.00021910667419433594
1,slicelet-gold-6,9ab0f3a2-aede-40a0-a3a2-7472c3750010,True,2024-01-12 19:46:22,2024-01-12 19:47:13,2024-01-12 19:47:17,51.16872596740723
1,slicelet-gold-7,5d3c7b45-68d1-4cde-ae94-d35eadbcbb82,True,2024-01-12 19:46:23,2024-01-12 19:46:55,2024-01-12 19:46:59,32.081607818603516
1,slicelet-gold-8,9b755667-91a2-4947-a158-5fe187159fe2,True,2024-01-12 19:46:21,2024-01-12 19:46:21,2024-01-12 19:46:24,0.00036215782165527344
1,slicelet-gold-9,bbc463f2-d5bc-4bcb-b2de-5d7e27810cb5,True,2024-01-12 19:46:22,2024-01-12 19:46:59,2024-01-12 19:47:03,37.10580921173096
1,slicelet-gold-10,449f6a44-8f6d-4596-9d22-75da2dff3b93,True,2024-01-12 19:46:22,2024-01-12 19:47:42,2024-01-12 19:47:44,80.25619196891785
