Epoch,Name,ID,Admitted?,Scheduled At,Started At,Ended At,Overall Delay(sec)
1,slicelet-gold-0,f23c457c-6fe4-4a5d-b82d-0d01cd61ecd3,True,2024-01-12 19:49:56,2024-01-12 19:51:01,2024-01-12 19:51:01,65.17185401916504
1,slicelet-gold-1,182a919d-910a-432f-8e11-d5613b76b1b1,True,2024-01-12 19:49:56,2024-01-12 19:51:05,2024-01-12 19:51:06,69.17288875579834
1,slicelet-gold-2,807bbfc6-07d1-4055-8056-0a3ec4f6f95f,True,2024-01-12 19:49:57,2024-01-12 19:50:51,2024-01-12 19:50:53,54.174466133117676
1,slicelet-gold-3,fb76a044-f6f9-4426-b1f8-7b1bd6df2d08,True,2024-01-12 19:49:56,2024-01-12 19:50:37,2024-01-12 19:50:37,40.12061023712158
1,slicelet-gold-4,620a9a12-2021-4201-88e9-285e3ad787e8,True,2024-01-12 19:49:57,2024-01-12 19:50:56,2024-01-12 19:50:57,59.178966999053955
1,slicelet-gold-5,e5a8df6a-2718-4026-ab22-ee43aabe2835,True,2024-01-12 19:49:55,2024-01-12 19:50:40,2024-01-12 19:50:42,44.151695013046265
1,slicelet-gold-6,a403bb4f-0fe9-452c-9dfd-a45e9870c63e,False,N/A,N/A,N/A,N/A
1,slicelet-gold-7,974cf2ca-1757-4890-abef-401790efb137,True,2024-01-12 19:49:56,2024-01-12 19:50:22,2024-01-12 19:50:22,26.0812668800354
1,slicelet-gold-8,58ffd66d-28a0-40d7-91bf-532a15cee369,True,2024-01-12 19:49:55,2024-01-12 19:50:42,2024-01-12 19:50:44,46.138041973114014
1,slicelet-gold-9,bd539186-4de5-4232-b6bd-ad855ecd2586,True,2024-01-12 19:49:56,2024-01-12 19:50:44,2024-01-12 19:50:45,47.15223813056946
1,slicelet-gold-10,e04237bc-a402-4bcb-9097-358d5463c07f,True,2024-01-12 19:49:58,2024-01-12 19:51:01,2024-01-12 19:51:05,63.167961835861206
1,slicelet-gold-11,7729acbf-434d-4d76-a35a-b703961ebb3f,True,2024-01-12 19:49:56,2024-01-12 19:50:27,2024-01-12 19:50:29,31.091882944107056
1,slicelet-gold-12,87238d70-7000-4981-b2a4-58a9f43c50fc,True,2024-01-12 19:49:57,2024-01-12 19:50:45,2024-01-12 19:50:47,48.146151065826416
1,slicelet-gold-13,105a492f-8547-488f-b12c-1defed4ae3a5,True,2024-01-12 19:49:58,2024-01-12 19:50:13,2024-01-12 19:50:14,15.037550926208496
1,slicelet-gold-14,241e03d5-aa00-4209-a940-4c6da97525f9,True,2024-01-12 19:49:56,2024-01-12 19:51:18,2024-01-12 19:51:20,82.23722505569458
1,slicelet-gold-15,58c7b07e-384c-4423-af7e-2552db6ffbcc,True,2024-01-12 19:49:57,2024-01-12 19:50:10,2024-01-12 19:50:13,13.025163888931274
1,slicelet-gold-16,28938a2d-ae5f-44e8-b92a-70ae2ce11ab4,True,2024-01-12 19:49:57,2024-01-12 19:50:56,2024-01-12 19:50:56,59.18421912193298
1,slicelet-gold-17,99b9eb03-4db7-438f-8522-7f7e4df5433f,True,2024-01-12 19:49:56,2024-01-12 19:51:13,2024-01-12 19:51:14,76.2396309375763
1,slicelet-gold-18,e0405a68-bf40-41d7-847e-ca95cee0ba28,True,2024-01-12 19:49:55,2024-01-12 19:51:14,2024-01-12 19:51:15,78.22007489204407
1,slicelet-gold-19,cc30e17c-463c-4c38-9cad-8912693f245d,True,2024-01-12 19:49:55,2024-01-12 19:49:55,2024-01-12 19:49:55,0.0006051063537597656
1,slicelet-gold-20,68f5ca5b-8683-45a0-891c-bd180e7507ae,True,2024-01-12 19:49:55,2024-01-12 19:51:10,2024-01-12 19:51:11,75.22349810600281
1,slicelet-gold-21,14b5ffa1-5a93-4c0a-935c-516bd0d35e37,True,2024-01-12 19:49:55,2024-01-12 19:50:00,2024-01-12 19:50:01,5.016739130020142
1,slicelet-gold-22,b612bcfb-9a1d-4db3-a8d0-9679ad13880f,True,2024-01-12 19:49:55,2024-01-12 19:51:20,2024-01-12 19:51:22,85.25103998184204
1,slicelet-gold-23,9cf0c49c-9d5c-4bb3-ad35-e45702756db3,True,2024-01-12 19:49:55,2024-01-12 19:49:55,2024-01-12 19:49:55,0.00011301040649414062
1,slicelet-gold-24,735939cd-d939-44d5-ac08-84793c1cc9ea,True,2024-01-12 19:49:57,2024-01-12 19:51:11,2024-01-12 19:51:12,74.20985388755798
1,slicelet-gold-25,80688f49-e49c-4eeb-981a-a286279a90c8,True,2024-01-12 19:49:55,2024-01-12 19:50:24,2024-01-12 19:50:27,29.09043788909912
1,slicelet-gold-26,a2d76898-df28-40ca-83e9-7d2f270c79a8,True,2024-01-12 19:49:57,2024-01-12 19:50:49,2024-01-12 19:50:51,52.13784122467041
1,slicelet-gold-27,ceb064eb-79a9-4f3b-a92c-80779a972dc7,True,2024-01-12 19:49:56,2024-01-12 19:50:56,2024-01-12 19:50:56,60.185895919799805
