Epoch,Name,ID,Admitted?,Scheduled At,Started At,Ended At,Overall Delay(sec)
1,slicelet-gold-0,f419baf5-9102-4a5c-aa18-1e4dfabad86d,True,2024-01-12 18:07:56,2024-01-12 18:07:56,2024-01-12 18:07:56,0.00023603439331054688
1,slicelet-gold-1,2aa2fb1d-fe05-4655-859c-d8615eb6ebac,True,2024-01-12 18:07:56,2024-01-12 18:07:56,2024-01-12 18:07:56,0.000244140625
1,slicelet-gold-2,ee237bbd-974d-4429-9f58-ebcfe2aee201,False,N/A,N/A,N/A,N/A
1,slicelet-gold-3,54641bbb-9ee8-4afb-8e22-9d3fb31e01bb,True,2024-01-12 18:07:56,2024-01-12 18:08:08,2024-01-12 18:08:09,12.033287048339844
1,slicelet-gold-4,147fb2fd-53b7-4339-ba0f-93ee3b26cb7a,False,N/A,N/A,N/A,N/A
1,slicelet-gold-5,72d56a9c-a583-430c-8c9b-7efcdba0204a,False,N/A,N/A,N/A,N/A
1,slicelet-gold-6,a2e677ed-4104-4efa-b018-4bc23b3e2101,False,N/A,N/A,N/A,N/A
1,slicelet-gold-7,e178e997-809e-4711-b248-bfb4a670db7c,True,2024-01-12 18:07:56,2024-01-12 18:08:09,2024-01-12 18:08:13,13.034362077713013
1,slicelet-gold-8,54645845-ea34-4a47-b153-8e1389479478,False,N/A,N/A,N/A,N/A
1,slicelet-gold-9,7c6034c1-eacc-46ea-8993-f5cd2c947fc2,True,2024-01-12 18:07:56,2024-01-12 18:07:56,2024-01-12 18:07:57,0.003114938735961914
1,slicelet-gold-10,9647d2a8-e2d6-4efc-b7cc-76ec6025f920,False,N/A,N/A,N/A,N/A
1,slicelet-gold-11,67711a43-7c1e-48d9-9711-21290c5d7a5c,False,N/A,N/A,N/A,N/A
1,slicelet-gold-12,cf977fe1-bd4e-4048-af53-806f7102bd5f,False,N/A,N/A,N/A,N/A
1,slicelet-gold-13,b7a910dc-41f6-4d7b-aaf8-a67830e8a1cb,False,N/A,N/A,N/A,N/A
1,slicelet-gold-14,68bbc0f2-f25a-49ca-a4e5-24abc7053022,True,2024-01-12 18:07:56,2024-01-12 18:08:15,2024-01-12 18:08:19,19.064361810684204
